Material Class,Material Formula,Notes
Double Perovskite,Y2MgGeO6,No synthesis papers found; La2MgGeO6 analogue is confirmed; tolerance factor t=0.845 is actually the most favorable of all unconfirmed Y2B'B''O6 compositions (higher than confirmed Y2MgTiO6 at t=0.829); synthesis may require careful handling due to GeO2 volatility
Double Perovskite,Y2MgHfO6,[MARGINAL] No synthesis papers found; compound not reported in accessible literature
Double Perovskite,Y2MgSnO6,[MARGINAL] No synthesis papers found; compound does not appear in accessible literature; La2MgSnO6 analogue is known (10.3390/molecules27227697)
Double Perovskite,Y2MgZrO6,[MARGINAL] No synthesis papers found; La2MgZrO6 analogue is known (1450-1600°C) but Y-based variant not reported
Double Perovskite,Y2ZnCeO6,Does not form double perovskite; Ce4+ (0.87 Å) too large for B-site with small Y3+ A-site; tolerance factor t=0.776; La analogue (La2ZnCeO6) also unreported — Ce4+ is redox-unstable
Double Perovskite,Y2ZnGeO6,[MARGINAL] No synthesis papers found; compound not reported in accessible literature
Double Perovskite,Y2ZnHfO6,[MARGINAL] No synthesis papers found; compound not reported in accessible literature
Double Perovskite,Y2ZnSnO6,[MARGINAL] No synthesis papers found; compound not reported in accessible literature
Double Perovskite,Y2ZnTiO6,No synthesis papers found; Y2MgTiO6 analogue is known but Zn variant not reported
Double Perovskite,Y2ZnZrO6,No synthesis papers found; RE2ZrZnO6 known for RE=La/Dy/Ho (10.1088/1402-4896/ad3300) but not Y
Garnet,Ba3Al2Ge3O12,Does not form garnet structure; Ba2+ far too large for dodecahedral site
Garnet,Ba3Al2Si3O12,Does not form garnet structure; Ba2+ far too large for dodecahedral site in garnet
Garnet,Ba3Ga2Ge3O12,Does not form garnet structure; Ba2+ far too large for dodecahedral site
Garnet,Ba3Ga2Si3O12,Does not form garnet structure; Ba2+ far too large for dodecahedral site
Garnet,Ba3Sc2Ge3O12,Does not form garnet structure; Ba2+ far too large for dodecahedral site
Garnet,Ba3Sc2Si3O12,Does not form garnet structure; Ba2+ far too large for dodecahedral site
Garnet,Ca3Al2Si3O12,Grossular garnet exists as natural mineral at ambient pressure but is not stable above ~855°C at 1 atm — decomposes to wollastonite+gehlenite+anorthite; conventional high-temp solid-state synthesis not feasible; can be made by hydrothermal methods or high-pressure synthesis (6-15 GPa at ~1400°C); refs: 10.1038/ncomms13753; 10.1086/625736
Garnet,Ca3Ga2Ge3O12,Forms garnet but only synthesized by Czochralski melt growth (~1380°C mp); no conventional solid-state synthesis found (10.1016/0025-5408(77)90090-3)
Garnet,Ca3Ga2Si3O12,"No synthesis papers found but likely feasible; grossular (Ca3Al2Si3O12) exists as natural mineral at ambient pressure, and Ca3Sc2Si3O12 is routinely synthesized by solid-state reaction; Ga3+ (0.620 Å) is between Al3+ (0.535 Å) and Sc3+ (0.745 Å), placing it in the garnet stability window; Ca3Ga2Ge3O12 also confirmed"
Garnet,Ca3In2Ge3O12,No papers found but likely feasible; Ca3Y2Ge3O12 (Y 0.900 Å) and Ca3Sc2Ge3O12 (Sc 0.745 Å) both confirmed as garnet; In3+ (0.800 Å) is between them; Sr3In2Ge3O12 also confirmed
Garnet,Ca3In2Si3O12,No papers found; unlikely to form garnet — In3+ (0.800 Å) larger than Sc3+ (0.745 Å) which is the boundary for Ca-silicate garnets; Ca3Y2Si3O12 (Y 0.900 Å) already fails to form garnet
Garnet,Ca3Y2Si3O12,"Does not form garnet; adopts orthorhombic silico-carnotite structure (Pnma); Y3+ (0.900 Å) too large for octahedral B-site in Ca-silicate garnet; only Ca3Sc2Si3O12 (Sc 0.745 Å) forms garnet among Ca-RE silicates; refs: 10.1016/S1002-0721(08)60287-2, 10.1016/j.jlumin.2009.10.029"
Garnet,La3Al2Ga3O12,"Does not form garnet; Al3+ (0.535 Å) too small on octahedral site to expand lattice enough for La3+ (1.16 Å) on dodecahedral site; La requires Sc3+ or larger on octahedral site (Novak & Gibbs 1971, J. Solid State Chem. 6:21-28)"
Garnet,La3Ga2Al3O12,Does not form garnet; La3+ needs large B-site cations; Ga3+ (0.620 Å) too small on octahedral site to stabilize La; La3Al2Ga3O12 also does not form
Garnet,La3In2Al3O12,Does not form garnet; La3+ too large for A-site combined with small Al3+ on tetrahedral site; even La3Sc2Al3O12 is thermodynamically unstable
Garnet,La3In2Ga3O12,No papers found but plausible; La3Sc2Ga3O12 forms (Sc 0.745 Å on oct) so La3In2Ga3O12 (In 0.800 Å) should provide adequate lattice expansion; In2O3 volatility is a practical challenge
Garnet,La3Sc2Al3O12,Computationally predicted but thermodynamically unstable above ~685 K; decomposes to LaAlO3+Sc2O3 at synthesis temperatures (10.1016/j.commatsci.2024.113112)
Garnet,La3Sc2Ga3O12,Forms garnet but non-stoichiometric; La3+ does not fully occupy A-site; some Sc leaks to dodecahedral site (10.1016/S0022-4596(73)80034-9); no conventional solid-state recipe with full La occupancy
Garnet,Lu3Ga2Al3O12,"Does not form as ordered phase; same Ga tetrahedral preference as Y analogue; disordered Lu3(Al,Ga)5O12 exists but Ga predominantly occupies tet sites"
Garnet,Lu3In2Al3O12,[MARGINAL] No papers found; In3+ (0.800 Å) very large for compact Lu framework combined with small Al3+ tet; feasibility uncertain
Garnet,Lu3In2Ga3O12,No papers found but plausible; Y3In2Ga3O12 and Gd3In2Ga3O12 confirmed; Lu is smaller A-site but In+Ga combination works for larger RE
Garnet,Lu3Sc2Al3O12,"[MARGINAL] Full Sc3 endpoint not reported as single-phase garnet; partial Sc substitution in LuAG confirmed (e.g. Lu2.97Al4ScO12:Pr via sol-gel, 10.1016/j.ceramint.2024.08.041); full endpoint likely at stability boundary"
Garnet,Lu3Sc2Ga3O12,"No direct synthesis of exact stoichiometry but likely feasible; GSGG (Gd3Sc2Ga3O12) is commercially available; Lu-Sc-Ga garnet solid solutions confirmed (ACS Omega 2025, 10.1021/acsomega.5c01062)"
Garnet,Mg3Al2Ge3O12,No synthesis papers found; Mg2+ too small for dodecahedral site; not reported at ambient or high pressure
Garnet,Mg3Al2Si3O12,Pyrope garnet; requires high pressure (>1.6 GPa) for synthesis; not stable at ambient pressure; Mg2+ too small for dodecahedral site at 1 atm
Garnet,Mg3Ga2Ge3O12,No synthesis papers found; Mg2+ too small for dodecahedral site; compound not reported
Garnet,Mg3Ga2Si3O12,No synthesis papers found; Mg2+ too small for dodecahedral site; compound not reported
Garnet,Mg3Sc2Ge3O12,No synthesis papers found; Mg2+ too small for dodecahedral site; inverse garnet uncertain since Sc3+ may be too small for dodecahedral site
Garnet,Mg3Sc2Si3O12,No synthesis papers found; Mg2+ too small for dodecahedral site; compound not reported
Garnet,Sr3Al2Ge3O12,"Does not form garnet; Al3+ (0.535 Å) far too small on octahedral site for Sr2+ (1.26 Å) dodecahedral site; confirmed Sr germanate garnets all require large B-site cations (Sc 0.745 Å, Y 0.90 Å, Yb 0.87 Å); ref: Song et al. Acta Cryst. C 2019"
Garnet,Sr3Al2Si3O12,No synthesis papers found; Sr-based garnets exist only as germanates (not silicates); Si4+ gives too tight a framework for large Sr2+
Garnet,Sr3Ga2Ge3O12,Does not form garnet; Ga3+ (0.620 Å) still too small on octahedral site for Sr2+ dodecahedral; smallest confirmed Sr germanate garnet B-site is Sc3+ (0.745 Å); Ga well below this threshold
Garnet,Sr3Ga2Si3O12,No synthesis papers found; Si framework too small for Sr2+ with Ga on B-site
Garnet,Sr3In2Si3O12,Does not form garnet; no Sr-silicate garnets exist — Si4+ tetrahedral framework too small for Sr2+ dodecahedral site regardless of B-site cation
Garnet,Sr3Sc2Si3O12,"Does not form garnet structure; no Sr-silicate garnets exist for any B-site cation — Si4+ tetrahedral framework too small to accommodate Sr2+ on the dodecahedral site; all known Sr garnets are germanates (e.g. Sr3Sc2Ge3O12, Sr3Y2Ge3O12); ref: Song et al. Acta Cryst. C 2019 (garnet tolerance factor)"
Garnet,Sr3Y2Si3O12,Does not form garnet; no Sr-silicate garnets exist — Si4+ tetrahedral framework too small for Sr2+ dodecahedral site regardless of B-site cation
Garnet,Y3Ga2Al3O12,"Does not form as ordered phase; Ga3+ strongly prefers tetrahedral sites (~72% tet by NMR; Laguta et al. J. Phys. Chem. C 2016, 10.1021/acs.jpcc.6b08593); cannot force Ga-oct/Al-tet ordering; disordered Y3(Al,Ga)5O12 exists at this stoichiometry but with reversed site preference"
Garnet,Y3In2Al3O12,[MARGINAL] No papers found; In3+ (0.800 Å) on oct with Al3+ (0.39 Å tet) creates large size mismatch between sublattices; no precedent for In-oct + Al-tet in any garnet; feasibility uncertain
Ilmenite,BaCeO3,Does not adopt ilmenite structure; forms orthorhombic perovskite (Pnma); proton conductor
Ilmenite,BaGeO3,Does not adopt ilmenite structure; hexagonal pseudowollastonite at ambient with [GeO3]3 rings
Ilmenite,BaHfO3,Does not adopt ilmenite structure; forms cubic perovskite
Ilmenite,BaSiO3,Does not adopt ilmenite structure; orthorhombic structure at ambient; perovskite only at ~141 GPa
Ilmenite,BaSnO3,Does not adopt ilmenite structure; forms cubic perovskite
Ilmenite,BaTiO3,Does not adopt ilmenite structure; forms tetragonal perovskite (P4mm); iconic ferroelectric
Ilmenite,BaZrO3,Does not adopt ilmenite structure; forms cubic perovskite (Pm-3m)
Ilmenite,CaCeO3,Does not adopt ilmenite structure; forms orthorhombic perovskite (Pnma)
Ilmenite,CaGeO3,Does not adopt ilmenite structure; ambient form is triclinic wollastonite; transforms to garnet then perovskite at high pressure; never ilmenite
Ilmenite,CaHfO3,Does not adopt ilmenite structure; forms orthorhombic perovskite isostructural with CaZrO3
Ilmenite,CaSiO3,Does not adopt ilmenite structure; ambient form is wollastonite (chain silicate); perovskite only at ~13 GPa; never ilmenite
Ilmenite,CaSnO3,Does not adopt ilmenite structure; forms orthorhombic perovskite (Pbnm)
Ilmenite,CaTiO3,Does not adopt ilmenite structure; forms orthorhombic perovskite (Pbnm) — the original perovskite mineral; Ca2+ far too large for ilmenite A-site
Ilmenite,CaZrO3,Does not adopt ilmenite structure; forms orthorhombic perovskite (mineral lakargiite)
Ilmenite,MgCeO3,Does not exist as single phase; Ce4+ far too large for B-site in ilmenite with Mg; likely unstable against decomposition to MgO + CeO2
Ilmenite,MgGeO3,Does not adopt ilmenite structure at ambient pressure; requires high-pressure synthesis (~5 GPa at ~1100°C in multi-anvil press) from orthopyroxene precursor (10.2138/am-2021-7685); ambient form is orthopyroxene
Ilmenite,MgHfO3,Does not adopt ilmenite structure; expected perovskite like MgZrO3; Hf4+ ~Zr4+ in size
Ilmenite,MgSiO3,Does not adopt ilmenite structure at ambient pressure; MgSiO3-ilmenite (akimotoite) is a high-pressure polymorph stable at ~18-25 GPa; ambient-pressure form is enstatite/clinoenstatite (pyroxene); requires multi-anvil press synthesis
Ilmenite,MgSnO3,Does not adopt ilmenite (R-3) structure; ilmenite phase computed to be dynamically unstable for this composition; ambient-pressure bulk form is perovskite-type (Pnma); decomposes above ~800-1000°C
Ilmenite,MgZrO3,Does not adopt ilmenite structure; forms perovskite (Pm-3m); Zr4+ too large for ilmenite B-site with Mg
Ilmenite,PbCeO3,Does not adopt ilmenite structure; forms perovskite
Ilmenite,PbGeO3,Does not adopt ilmenite structure; likely pyroxene-like at ambient
Ilmenite,PbHfO3,Does not adopt ilmenite structure; forms orthorhombic perovskite (Pbam) isostructural with PbZrO3
Ilmenite,PbSiO3,Does not adopt ilmenite structure; forms monoclinic alamosite (P2/n); chain silicate
Ilmenite,PbSnO3,Does not adopt ilmenite structure; forms pyrochlore at ambient; perovskite only under high pressure
Ilmenite,PbTiO3,Does not adopt ilmenite structure; forms tetragonal perovskite (P4mm); ferroelectric
Ilmenite,PbZrO3,Does not adopt ilmenite structure; forms orthorhombic perovskite (Pbam); antiferroelectric
Ilmenite,SrCeO3,Does not adopt ilmenite structure; forms orthorhombic perovskite (Pnma); proton conductor
Ilmenite,SrGeO3,Does not adopt ilmenite structure; ambient form is pseudowollastonite; perovskite at ~6 GPa; never ilmenite
Ilmenite,SrHfO3,Does not adopt ilmenite structure; forms orthorhombic perovskite isostructural with SrZrO3
Ilmenite,SrSiO3,Does not adopt ilmenite structure; ambient form is pseudowollastonite (monoclinic C2/c); never ilmenite
Ilmenite,SrSnO3,Does not adopt ilmenite structure; forms orthorhombic perovskite (Pnma)
Ilmenite,SrTiO3,Does not adopt ilmenite structure; forms cubic perovskite (Pm-3m); Sr2+ far too large for ilmenite
Ilmenite,SrZrO3,Does not adopt ilmenite structure; forms orthorhombic perovskite (Pnma)
Ilmenite,ZnCeO3,Does not exist; Ce4+ far too large for ilmenite B-site; compound not reported
Ilmenite,ZnGeO3,Does not adopt ilmenite at ambient pressure; requires high-pressure synthesis; ambient form is clinopyroxene
Ilmenite,ZnHfO3,Does not adopt ilmenite structure; expected perovskite like ZnZrO3; Hf4+ ~Zr4+ in size
Ilmenite,ZnSiO3,Does not adopt ilmenite at ambient pressure; ilmenite only at ~10-12 GPa; ambient form is clinopyroxene (C2/c)
Ilmenite,ZnSnO3,Does not adopt ilmenite at ambient pressure; requires ~7 GPa for LiNbO3-type/ilmenite; decomposes at ambient to ZnO + SnO2
Ilmenite,ZnZrO3,Does not adopt ilmenite structure; forms perovskite (Pm-3m); Zr4+ too large for ilmenite B-site
Pyrochlore,Ba2Nb2O7,Does not exist as stable single phase; Ba2+ too large; Ba-Nb oxides form other compositions (e.g. BaNb2O6)
Pyrochlore,Ba2Ta2O7,Does not exist as stable single phase; Ba2+ too large; same issue as Ba2Nb2O7
Pyrochlore,Bi2Ce2O7,Does not adopt pyrochlore structure; rA/rB=1.34 too small; forms defect fluorite
Pyrochlore,Bi2Ge2O7,Does not adopt pyrochlore structure; rA/rB=2.21 far too large; adopts other crystal structure
Pyrochlore,Bi2Hf2O7,Forms pyrochlore but cannot be made by conventional solid-state synthesis of Bi2O3 + HfO2; requires coprecipitation followed by calcination at 700-950°C; exhibits alpha/beta/gamma/delta polymorphs at ~400/550/900°C; delta polymorph is ideal cubic pyrochlore (Fd-3m); decomposes at ~1000°C into HfO2 + Bi1.94Hf0.06O3.03 (beta-Bi2O3 structure); Bi volatility precludes high-temp solid-state routes; ref: 10.1021/cm062864a (Henderson et al. 2007)
Pyrochlore,Bi2Ti2O7,Forms pyrochlore but is metastable — cannot be made by conventional solid-state synthesis; requires coprecipitation from H2O2/NH3(aq) solutions of Ti with aqueous Bi(NO3)3; pure phase only obtainable within a few degrees of 470°C; decomposes to Bi4Ti3O12 + Bi2Ti4O11 above ~600°C; Li stabilization extends stability to 1100°C but changes composition; refs: 10.1016/S0022-4596(03)00378-5 (Hector & Wiggin 2004) and 10.1021/cm202154c (Esquivel-Elizondo et al. 2011)
Pyrochlore,Bi2Zr2O7,Forms metastable pyrochlore-like phase — cannot be made by conventional solid-state synthesis; requires EDTA-chelation of equimolar Zr4+/Bi3+ followed by calcination at 750°C/3h in air; product contains minor beta-Bi2O3 impurity; phase is metastable and decomposes at higher temperatures into ZrO2 + Bi1.84Zr0.16O3.08 (beta-Bi2O3 structure); ref: 10.1021/acs.inorgchem.8b02258
Pyrochlore,Ca2Nb2O7,Does not adopt pyrochlore structure; forms orthorhombic layered perovskite
Pyrochlore,Ca2Ta2O7,Does not adopt pyrochlore structure; forms layered perovskite isostructural with Ca2Nb2O7
Pyrochlore,La2Ce2O7,"Does not form pyrochlore structure — La2Ce2O7 adopts a disordered defect-fluorite structure (cubic, Fm-3m) with randomly distributed anion vacancies; pyrochlore superstructure peaks are absent or unresolvable; A/B site antisite disorder is not applicable as the cation sublattice is already disordered; refs: 10.3390/ma15114007 (solid-state synthesis at 1300–1400°C/6h in air confirmed) and 10.1103/PhysRevB.85.132101 (neutron/synchrotron confirmation of fluorite, not pyrochlore)"
Pyrochlore,La2Ge2O7,Does not form pyrochlore structure — La2Ge2O7 adopts a triclinic structure (space group P1) containing mixed Ge environments (trigermanate chains [Ge3O10] and isolated [GeO4] tetrahedra); cannot disorder via A/B antisite swapping like a pyrochlore; refs: 10.1016/j.ceramint.2020.02.133 and 10.1016/j.jlumin.2022.119295
Pyrochlore,Lu2Ce2O7,Does not adopt pyrochlore structure; rA/rB=1.12 far too small; forms defect fluorite
Pyrochlore,Lu2Ge2O7,Does not adopt pyrochlore structure; rA/rB=1.84 too large; adopts monoclinic structure
Pyrochlore,Lu2Hf2O7,Does not adopt pyrochlore structure; rA/rB=1.38 below stability window; forms defect fluorite
Pyrochlore,Lu2Sn2O7,Does not adopt pyrochlore structure; rA/rB=1.42 at/below boundary; forms defect fluorite
Pyrochlore,Lu2Zr2O7,Does not adopt pyrochlore structure; rA/rB=1.36 below stability window; forms defect fluorite
Pyrochlore,Pb2Nb2O7,Stoichiometric pyrochlore requires high-pressure synthesis (~6.5 GPa); at ambient pressure only defect pyrochlore Pb1.5Nb2O6.5 forms at 600-700°C (10.1021/ic50066a038)
Pyrochlore,Pb2Ta2O7,Stoichiometric pyrochlore requires high-pressure synthesis (~6.5 GPa); at ambient pressure only defect pyrochlore Pb1.5Ta2O6.5 forms (10.1021/ic50066a038)
Pyrochlore,Sr2Nb2O7,Does not adopt pyrochlore structure; forms well-known orthorhombic layered perovskite (Cmc21)
Pyrochlore,Sr2Ta2O7,Does not adopt pyrochlore structure; forms layered perovskite isostructural with Sr2Nb2O7
Pyrochlore,Y2Ce2O7,Does not adopt pyrochlore structure; rA/rB=1.17 far too small; forms defect fluorite
Pyrochlore,Y2Ge2O7,Does not adopt pyrochlore structure; rA/rB=1.92 too large; adopts monoclinic structure (P21/c)
Pyrochlore,Y2Hf2O7,Does not adopt pyrochlore structure; rA/rB=1.44 below stability window; forms defect fluorite
Pyrochlore,Y2Zr2O7,Does not adopt pyrochlore structure; rA/rB=1.42 below stability window; forms defect fluorite (disordered)
Spinel,MgSc2O4,"Does not form spinel; Sc3+ (0.745 Å) too large for octahedral site in Mg oxide spinel (compare MgAl2O4 Al3+=0.535 Å, MgGa2O4 Ga3+=0.620 Å); MgSc2X4 chalcogenides (X=S,Se) do form spinel but oxide does not; only limited Sc2O3 solubility in MgO periclase"
Spinel,ZnIn2O4,No solid-state synthesis papers found; existing ZnIn2O4 literature uses wet chemistry routes (hydrothermal)
Spinel,ZnSc2O4,Does not form spinel; Sc3+ (0.745 Å) too large for octahedral site in Zn oxide spinel; only DFT/computational studies exist (e.g. 10.1007/s11082-023-06056-1); no experimental synthesis reported
